failed to get console mode for stdout: The handle is invalid.
item-app-1  | 
item-db-1   | 2024-05-10T20:02:09.929+0000 I STORAGE  [LogicalSessionCacheRefresh] createCollection: config.system.sessions with generated UUID: ef1dbde5-931b-41ef-9bc8-1f66a060761a
item-db-1   | 2024-05-10T20:02:09.929+0000 I NETWORK  [initandlisten] listening via socket bound to /tmp/mongodb-27017.sock
item-app-1  | [0mGET /api [32m200 [0m13.297 ms - 2[0m
item-app-1  | [0mGET /favicon.ico [33m404 [0m17.635 ms - 270[0m
item-db-1   | 2024-05-10T20:02:09.930+0000 I NETWORK  [initandlisten] waiting for connections on port 27017
item-db-1   | 2024-05-10T20:02:09.968+0000 I INDEX    [LogicalSessionCacheRefresh] build index on: config.system.sessions properties: { v: 2, key: { lastUse: 1 }, name: "lsidTTLIndex", ns: "config.system.sessions", expireAfterSeconds: 1800 }
item-db-1   | 2024-05-10T20:02:09.968+0000 I INDEX    [LogicalSessionCacheRefresh] 	 building index using bulk method; build may temporarily use up to 500 megabytes of RAM
item-db-1   | 2024-05-10T20:02:09.970+0000 I INDEX    [LogicalSessionCacheRefresh] build index done.  scanned 0 total records. 0 secs
item-db-1   | 2024-05-10T20:02:11.177+0000 I NETWORK  [listener] connection accepted from 172.19.0.3:57660 #1 (1 connection now open)
item-db-1   | 2024-05-10T20:02:11.194+0000 I NETWORK  [conn1] received client metadata from 172.19.0.3:57660 conn1: { driver: { name: "nodejs", version: "2.2.36" }, os: { type: "Linux", name: "linux", architecture: "x64", version: "5.15.133.1-microsoft-standard-WSL2" }, platform: "Node.js v14.21.3, LE, mongodb-core: 2.1.20" }
